Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
04-08-2023_group4_R,2023-04-12 15:16:03,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_R.mp4,1800.700,25.0,No focal subject,C,,,POINT,17.155,17.155,NA,,
04-08-2023_group4_L,2023-04-11 09:42:27,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,17.159,17.159,NA,,
02-27-2023_21dpf__L,2023-03-02 15:36:30,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/02-27-2023_21dpf__L.mp4,1926.870,25.0,No focal subject,C,,,POINT,17.287,17.287,NA,,
04-05-2023_group3_R,2023-04-07 15:59:16,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_R.mp4,1800.750,25.0,No focal subject,C,,,POINT,17.403,17.403,NA,,
03-08-2023_group1_R,2023-03-14 10:27:47,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-08-2023_group1_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,17.507,17.507,NA,,
04-12-2023_group4_R,2023-04-13 15:49:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,18.159,18.159,NA,,
04-10-2023_group4_L,2023-04-13 09:47:57,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,18.619,18.619,NA,,
03-27-2023_group4_R,2023-03-31 10:52:26,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-27-2023_group4_R.mp4,1800.830,25.0,No focal subject,C,,,POINT,18.658,18.658,NA,,
03-06-2023_group1_L,2023-03-08 15:11:44,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,19.136,19.136,NA,,
04-05-2023_group4_L,2023-04-07 16:33:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_L.mp4,1800.870,25.0,No focal subject,C,,,POINT,19.409,19.409,NA,,
04-10-2023_group4_R,2023-04-13 10:10:23,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,19.662,19.662,NA,,
04-05-2023_group3_L,2023-04-07 15:31:32,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_L.mp4,1800.750,25.0,No focal subject,C,,,POINT,20.175,20.175,NA,,
03-29-2023_group3_L,2023-03-31 11:50:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-29-2023_group3_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,21.902,21.902,NA,,
04-03-2023_group3_R,2023-04-05 16:40:29,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,21.903,21.903,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,21.904,21.904,NA,,
04-05-2023_group3_L,2023-04-07 15:31:32,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_L.mp4,1800.750,25.0,No focal subject,C,,,POINT,21.909,21.909,NA,,
04-10-2023_group4_L,2023-04-13 09:47:57,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_L.mp4,1800.790,25.0,No focal subject,L,,,POINT,22.117,22.117,NA,,
04-03-2023_group4_L,2023-04-05 17:19:30,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,22.402,22.402,NA,,
04-05-2023_group4_L,2023-04-07 16:33:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_L.mp4,1800.870,25.0,No focal subject,C,,,POINT,22.614,22.614,NA,,
03-01-2023_group1_R,2023-03-07 10:22:13,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-01-2023_group1_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,24.152,24.152,NA,,
04-03-2023_group3_R,2023-04-05 16:40:29,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,24.407,24.407,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,24.410,24.410,NA,,
04-12-2023_group4_L,2023-04-13 10:27:33,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,24.410,24.410,NA,,
04-12-2023_group4_R,2023-04-13 15:49:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,24.905,24.905,NA,,
04-08-2023_group4_L,2023-04-11 09:42:27,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,25.401,25.401,NA,,
04-05-2023_group3_R,2023-04-07 15:59:16,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_R.mp4,1800.750,25.0,No focal subject,C,,,POINT,25.407,25.407,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,25.658,25.658,NA,,
04-03-2023_group3_R,2023-04-05 16:40:29,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,25.909,25.909,NA,,
03-29-2023_group3_L,2023-03-31 11:50:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-29-2023_group3_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,26.132,26.132,NA,,
03-01-2023_group1_R,2023-03-07 10:22:13,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-01-2023_group1_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,26.363,26.363,NA,,
04-05-2023_group4_R,2023-04-10 10:01:35,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_R.mp4,1800.870,25.0,No focal subject,C,,,POINT,26.410,26.410,NA,,
03-06-2023_group1_L,2023-03-08 15:11:44,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,26.633,26.633,NA,,
04-10-2023_group4_R,2023-04-13 10:10:23,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,26.912,26.912,NA,,
04-01-2023_group4_R_premiere,2023-04-04 13:34:48,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-01-2023_group4_R_premiere.mp4,1800.790,25.0,No focal subject,C,,,POINT,27.613,27.613,NA,,
02-27-2023_21dpf_R,2023-03-02 16:09:51,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/02-27-2023_21dpf_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,28.155,28.155,NA,,
04-05-2023_group4_L,2023-04-07 16:33:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_L.mp4,1800.870,25.0,No focal subject,C,,,POINT,28.370,28.370,NA,,
04-03-2023_group3_L,2023-04-05 16:17:21,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,28.404,28.404,NA,,
04-03-2023_group3_R,2023-04-05 16:40:29,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,28.409,28.409,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,28.658,28.658,NA,,
04-08-2023_group3_R,2023-04-10 11:06:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,28.911,28.911,NA,,
04-12-2023_group4_R,2023-04-13 15:49:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,29.403,29.403,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,L,,,POINT,30.406,30.406,NA,,
04-03-2023_group3_L,2023-04-05 16:17:21,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,31.656,31.656,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,31.658,31.658,NA,,
04-10-2023_group4_L,2023-04-13 09:47:57,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,31.869,31.869,NA,,
03-06-2023_group1_L,2023-03-08 15:11:44,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,32.134,32.134,NA,,
03-29-2023_group3_LACTUALLY,2023-03-31 14:59:52,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-29-2023_group3_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,32.157,32.157,NA,,
04-05-2023_group4_L,2023-04-07 16:33:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_L.mp4,1800.870,25.0,No focal subject,C,,,POINT,32.616,32.616,NA,,
04-10-2023_group4_R,2023-04-13 10:10:23,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-10-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,32.656,32.656,NA,,
04-12-2023_group4_L,2023-04-13 10:27:33,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,32.658,32.658,NA,,
04-08-2023_group4_R,2023-04-12 15:16:03,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_R.mp4,1800.700,25.0,No focal subject,C,,,POINT,32.659,32.659,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,33.156,33.156,NA,,
04-08-2023_group4_L,2023-04-11 09:42:27,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,33.161,33.161,NA,,
02-27-2023_21dpf__L,2023-03-02 15:36:30,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/02-27-2023_21dpf__L.mp4,1926.870,25.0,No focal subject,C,,,POINT,33.411,33.411,NA,,
04-08-2023_group4_L,2023-04-11 09:42:27,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group4_L.mp4,1800.700,25.0,No focal subject,C,,,POINT,33.911,33.911,NA,,
04-01-2023_group4_R_premiere,2023-04-04 13:34:48,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-01-2023_group4_R_premiere.mp4,1800.790,25.0,No focal subject,C,,,POINT,34.613,34.613,NA,,
04-08-2023_group3_L,2023-04-10 10:39:15,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-08-2023_group3_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,34.656,34.656,NA,,
04-05-2023_group4_L,2023-04-07 16:33:11,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_L.mp4,1800.870,25.0,No focal subject,C,,,POINT,34.880,34.880,NA,,
04-05-2023_group3_R,2023-04-07 15:59:16,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_R.mp4,1800.750,25.0,No focal subject,C,,,POINT,35.403,35.403,NA,,
04-05-2023_group4_R,2023-04-10 10:01:35,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group4_R.mp4,1800.870,25.0,No focal subject,C,,,POINT,36.367,36.367,NA,,
04-05-2023_group3_R,2023-04-07 15:59:16,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_R.mp4,1800.750,25.0,No focal subject,C,,,POINT,36.405,36.405,NA,,
04-12-2023_group4_L,2023-04-13 10:27:33,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,36.912,36.912,NA,,
03-06-2023_group1_L,2023-03-08 15:11:44,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,37.136,37.136,NA,,
03-08-2023_group1_L,2023-03-14 10:04:16,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-08-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,37.658,37.658,NA,,
04-03-2023_group3_R,2023-04-05 16:40:29,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group3_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,37.909,37.909,NA,,
03-27-2023_group4_R,2023-03-31 10:52:26,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-27-2023_group4_R.mp4,1800.830,25.0,No focal subject,C,,,POINT,38.408,38.408,NA,,
02-27-2023_21dpf_R,2023-03-02 16:09:51,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/02-27-2023_21dpf_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,38.653,38.653,NA,,
04-03-2023_group4_L,2023-04-05 17:19:30,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-03-2023_group4_L.mp4,1800.790,25.0,No focal subject,C,,,POINT,39.160,39.160,NA,,
03-06-2023_group1_L,2023-03-08 15:11:44,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_L.mp4,1926.870,25.0,No focal subject,C,,,POINT,39.640,39.640,NA,,
04-05-2023_group3_L,2023-04-07 15:31:32,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-05-2023_group3_L.mp4,1800.750,25.0,No focal subject,C,,,POINT,39.657,39.657,NA,,
04-12-2023_group4_R,2023-04-13 15:49:04,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/04-12-2023_group4_R.mp4,1800.790,25.0,No focal subject,C,,,POINT,40.405,40.405,NA,,
03-06-2023_group1_R,2023-03-08 15:38:17,,C:/Users/moelw/Documents/Projects/Aggression Emergence/2023_06_Natural Habitat Pt 2/03-06-2023_group1_R.mp4,1926.870,25.0,No focal subject,C,,,POINT,40.894,40.894,NA,,
